id,book_name,author,price
828,991932624-0,Marline,59.99
829,585101440-7,Sofie,59.99
830,572063600-5,Tansy,39.99
831,267102569-6,Cloe,3.29
832,705415082-1,Anna,2.99
833,501833003-1,Wenda,4.99
834,264636144-0,Karia,12.99
835,838625889-6,Kaleena,12.99
836,991650659-0,Bronson,1.99
837,513081529-7,Jojo,19.99
838,829674642-5,Antone,29.99
839,652397171-6,Curcio,2.79
840,491084550-X,Kathye,1.29
841,388088809-4,Efren,99.99
842,421911282-0,Dorthea,1.49
843,421064897-3,Wernher,18.99
844,980422542-5,Lanni,6.99
845,850845822-3,Reggy,3.29
846,623501263-2,Ricardo,1.99
847,674614487-9,Janene,29.99
848,514527499-8,Wayne,29.99
849,409786052-6,Biron,3.29
850,208046906-1,Chancey,4.29
851,167925177-5,Micheline,9.99
852,610282478-4,Enrico,4.29
853,107827184-4,Thorny,39.99
854,638321666-X,Byrom,12.99
855,143779815-2,Madelin,49.99
856,650439469-5,Tiffani,1.99
857,880040412-X,Catlee,39.99
858,887502029-9,Manon,2.49
859,330050799-5,Tiff,4.29
860,076549050-1,Corry,22.99
861,584200731-2,Jena,22.99
862,647523942-9,Adrianna,149.99
863,610109064-7,Cicily,2.99
864,261204554-6,Lonni,39.99
865,909161554-0,Olympie,79.99
866,714922091-6,Justis,54.99
867,420026509-5,Emili,2.99
868,802910645-9,Gavan,79.99
869,618997032-X,Guthry,1.99
870,587384048-2,Celesta,3.49
871,229912496-9,Lindie,2.99
872,791422792-7,Barn,2.99
873,929195275-3,Cele,24.99
874,001128192-8,Pernell,79.99
875,831916856-2,Janelle,34.99
876,931592377-4,Aubrey,34.99
877,844904289-5,Roberta,19.99
878,307096698-5,Batsheva,49.99
879,632364220-4,Gabriel,29.99
880,539750130-1,Ken,34.99
881,302067253-8,Gaelan,2.99
882,767302118-8,Ivie,34.99
883,725271190-0,Zarla,22.99
884,492357389-9,Fallon,19.99
885,611566841-7,Emmalynne,4.49
886,115980481-8,Laina,4.29
887,983628524-5,Sylvan,49.99
888,787566401-2,Noll,10.99
889,311837091-2,Barnebas,5.99
890,568298712-8,Ebba,12.99
891,843465518-7,Gonzales,69.99
892,931910736-X,Sherwood,2.99
893,081385388-5,Kylynn,39.99
894,056166165-0,Joella,1.99
895,222073170-7,Elaina,69.99
896,059153254-9,Seward,1.79
897,031507634-8,Eleni,3.49
898,965892214-7,Bink,5.99
899,546042388-0,Ailey,19.99
900,081137660-5,Jorge,44.99
901,577355435-6,Jacquette,29.99
902,090141635-5,Gilemette,1.99
903,667144934-1,Karney,49.99
904,265996726-1,Any,3.49
905,847297028-0,Harmonie,5.49
906,757467469-8,Matilde,4.49
907,848392284-3,Chick,1.99
908,459876345-0,Ulrikaumeko,8.99
909,401155786-2,Henderson,299.99
910,921949671-2,Bartholemy,3.49
911,310881393-5,Veronica,3.49
912,759671278-9,Ilsa,39.99
913,657757828-1,Archibold,2.99
914,767870089-X,Sybille,3.99
915,420023073-9,Bebe,79.99
916,324929532-9,Richard,25.99
917,885241609-9,Jilli,39.99
918,005830968-3,Rosalinde,299.99
919,382999237-8,Marylee,15.99
920,816199101-4,Brier,9.99
921,046862412-0,Michelle,44.99
922,146005699-X,Glynnis,3.29
923,432039852-1,Kale,15.99
924,195725679-6,Ashia,1.49
925,928411251-6,Lizette,7.99
926,001383345-6,Alex,6.49
927,262905481-0,Sheelagh,3.99
928,307515201-3,Mame,14.99
929,449631024-4,Veda,29.99
930,609602404-1,Esther,39.99
931,933587328-4,Lexine,39.99
932,084092523-9,Alphonse,59.99
933,145067686-3,Corney,2.99
934,671097077-9,Ruy,3.79
935,098690613-1,Charissa,5.99
936,415473355-9,Barbi,24.99
937,115400212-8,Harvey,22.99
938,786965758-1,Clayson,5.99
939,128048430-6,Stafani,6.29
940,276023292-1,Mile,6.99
941,870522218-4,Filide,2.49
942,188198540-7,Dru,2.29
943,064577202-X,Jasmin,14.99
944,364835117-6,Kanya,5.49
945,048316379-1,Melanie,3.49
946,055222430-8,Alvina,3.59
947,369776630-9,Melloney,24.99
948,812934148-4,Marty,3.99
949,176389586-6,Denney,2.49
950,540239054-1,Auria,14.99
951,930511426-1,Nicolea,59.99
952,085667065-0,Josee,2.49
953,688866482-1,Edwina,6.49
954,573763782-4,Otho,18.99
955,790959544-1,Alanson,4.59
956,249495193-3,Allyn,79.99
957,011920093-7,Dallis,4.49
958,626763508-2,Shannah,5.99
959,182841652-5,Dacey,5.99
960,262445974-X,Hyman,19.99
961,710914188-8,Edythe,5.49
962,982328517-9,Willie,3.99
963,169607744-3,Denna,3.29
964,542388699-6,Pepi,3.99
965,174978410-6,Inge,1.99
966,893114019-3,Pris,4.99
967,081704986-X,Miller,24.99
968,425341558-X,Korrie,129.99
969,947894150-X,Yvon,2.49
970,780050536-7,Auberon,16.99
971,160156652-2,Errick,29.99
972,338867886-3,Tomi,15.99
973,099534609-7,Marlene,5.49
974,693392989-2,Morganne,24.99
975,405712850-6,Merrill,4.29
976,351437230-6,Carmine,19.99
977,516646616-0,Timmy,29.99
978,535080239-9,Dulcia,9.99
979,308294201-6,Ermin,45
980,087127654-2,Abbie,12.99
981,382750406-6,Lorin,2.49
982,373729584-0,Flem,19.99
983,622882588-7,Ardelia,8.99
984,765283808-8,Nadiya,12.99
985,869850953-3,Ethelred,2.99
986,789987495-5,Jolyn,2.29
987,142249805-0,Dario,7.99
988,685544885-2,Dael,79.99
989,786522397-8,Minne,4.19
990,627967576-9,Ranice,1.99
991,041339905-2,Jayme,14.99
992,088570165-8,Tiffy,4.29
993,907966015-9,Brandyn,1.79
994,175877818-0,Tammara,2.99
995,590378970-6,Carole,29.99
996,705824028-0,Dorian,4.19
997,634556456-7,Enrichetta,3.79
998,145958173-3,Mark,79.99
999,383605619-4,Dewain,1.99
1000,418026172-3,Dorena,24.99
